date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
24-08-2024,Maharashtra,Nashik,4.0,"PM10,O3",32.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-04-2021,Haryana,Jind,1.0,PM2.5,174.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-12-2023,Uttar Pradesh,NOIDA,4.0,PM2.5,351.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-07-2023,Rajasthan,Hanumangarh,1.0,PM10,325.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-05-2021,Haryana,Karnal,1.0,PM10,89.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-04-2023,Punjab,Bathinda,1.0,CO,42.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-04-2022,Gujarat,Nandesari,1.0,PM2.5,47.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-09-2018,Uttar Pradesh,Bulandshahr,1.0,O3,191.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-04-2022,Karnataka,Hubballi,1.0,PM10,87.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-05-2018,West Bengal,Asansol,1.0,PM2.5,86.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-07-2023,Karnataka,Belgaum,1.0,CO,46.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-04-2019,Haryana,Rohtak,1.0,PM2.5,207.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-04-2022,Haryana,Ambala,1.0,PM10,109.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-06-2020,Haryana,Panipat,1.0,PM10,153.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-03-2020,Rajasthan,Bhiwadi,1.0,O3,44.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-05-2025,Maharashtra,Mumbai,27.0,"PM10,NO2",82.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-10-2024,Haryana,Charkhi Dadri,1.0,PM2.5,260.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-01-2025,Uttar Pradesh,Prayagraj,3.0,"PM2.5,PM10",97.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-10-2019,Karnataka,Mysuru,1.0,PM10,58.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-04-2019,Gujarat,Ahmedabad,1.0,PM2.5,357.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-11-2022,Uttar Pradesh,Ghaziabad,4.0,PM2.5,236.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2021,Uttar Pradesh,Varanasi,4.0,"PM2.5,PM10",153.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-04-2024,Uttarakhand,Rishikesh,1.0,O3,91.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-01-2023,Maharashtra,Solapur,1.0,PM2.5,132.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-10-2022,Bihar,Bhagalpur,2.0,"PM2.5,NO2",112.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-08-2024,Andhra Pradesh,Tirupati,2.0,"PM2.5,PM10",42.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-12-2020,West Bengal,Kolkata,7.0,PM2.5,322.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-01-2023,Uttar Pradesh,Ghaziabad,4.0,"PM2.5,PM10",169.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-06-2021,Andhra Pradesh,Tirupati,1.0,PM10,57.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-09-2023,Rajasthan,Karauli,1.0,O3,59.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-04-2022,Uttar Pradesh,Bulandshahr,1.0,PM10,228.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-10-2023,Tripura,Agartala,1.0,PM2.5,166.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-05-2023,Odisha,Bileipada,1.0,PM10,104.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-11-2017,Karnataka,Bengaluru,4.0,"PM2.5,O3",62.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-04-2021,Haryana,Ambala,1.0,PM2.5,57.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-10-2018,Uttar Pradesh,Agra,1.0,PM2.5,101.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-03-2023,Bihar,Siwan,1.0,PM10,146.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-02-2023,Madhya Pradesh,Indore,1.0,NO2,96.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-05-2025,Rajasthan,Jodhpur,4.0,PM10,106.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-08-2020,Rajasthan,Udaipur,1.0,PM10,56.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-07-2018,Maharashtra,Nashik,1.0,O3,39.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-05-2019,Odisha,Talcher,1.0,PM10,195.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-02-2020,Rajasthan,Alwar,1.0,PM2.5,77.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-03-2023,Maharashtra,Pune,3.0,"CO,NO2",83.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-09-2019,Gujarat,Ankleshwar,1.0,CO,59.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-08-2020,Madhya Pradesh,Damoh,1.0,NO2,19.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-07-2021,Kerala,Eloor,1.0,CO,76.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-06-2022,Assam,Guwahati,1.0,PM10,53.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-10-2024,Uttarakhand,Kashipur,1.0,PM10,108.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-08-2024,Andhra Pradesh,Anantapur,1.0,PM10,71.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-04-2024,Punjab,Bathinda,1.0,PM10,78.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-07-2023,Karnataka,Raichur,1.0,O3,76.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-06-2023,Maharashtra,Akola,1.0,PM10,127.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-01-2019,Uttar Pradesh,Kanpur,1.0,PM2.5,272.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-10-2022,Punjab,Mandi Gobindgarh,1.0,PM10,83.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-06-2023,Rajasthan,Chittorgarh,1.0,CO,121.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-02-2018,Maharashtra,Pune,1.0,PM2.5,139.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-07-2023,Andhra Pradesh,Tirupati,1.0,PM10,42.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-09-2020,Haryana,Kaithal,1.0,PM10,54.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-09-2018,Uttar Pradesh,Varanasi,1.0,PM10,120.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-11-2022,Haryana,Mandikhera,1.0,PM10,120.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-08-2019,Haryana,Sonipat,1.0,PM2.5,131.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-12-2020,Uttar Pradesh,Greater Noida,2.0,PM2.5,405.0,Severe,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-02-2017,Karnataka,Bengaluru,5.0,"PM2.5,O3",85.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-11-2024,Uttar Pradesh,Greater Noida,2.0,PM10,287.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-01-2022,Uttar Pradesh,Firozabad,1.0,PM2.5,232.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-04-2022,Maharashtra,Pune,5.0,"PM2.5,PM10",130.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-05-2023,Uttar Pradesh,Kanpur,4.0,O3,52.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-11-2024,Chandigarh,Chandigarh,3.0,PM2.5,201.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-01-2024,Haryana,Charkhi Dadri,1.0,PM2.5,153.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-03-2022,Rajasthan,Jodhpur,1.0,PM2.5,181.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-10-2023,Uttar Pradesh,Prayagraj,3.0,PM10,174.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-07-2024,Uttar Pradesh,Lucknow,5.0,"PM10,CO",59.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-12-2022,Karnataka,Yadgir,1.0,PM2.5,134.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-11-2024,Haryana,Fatehabad,1.0,PM2.5,253.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-03-2025,Karnataka,Haveri,1.0,SO2,55.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-08-2022,Bihar,Purnia,1.0,PM2.5,169.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-12-2019,Rajasthan,Jaipur,3.0,"PM2.5,PM10",155.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-03-2020,Gujarat,Nandesari,1.0,CO,162.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-08-2023,Meghalaya,Shillong,2.0,"PM2.5,PM10",50.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-11-2021,Maharashtra,Solapur,1.0,PM10,90.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-01-2021,Haryana,Sirsa,1.0,NO2,86.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-12-2024,Uttar Pradesh,Jhansi,1.0,PM10,78.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-09-2023,Assam,Nalbari,1.0,PM2.5,56.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-06-2025,Assam,Guwahati,3.0,"PM2.5,SO2",50.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-03-2023,Uttar Pradesh,Meerut,3.0,PM10,136.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-06-2023,Punjab,Rupnagar,1.0,PM10,128.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-04-2022,Uttar Pradesh,Gorakhpur,1.0,PM10,48.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-08-2024,Andhra Pradesh,Kadapa,1.0,PM10,54.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-08-2022,Tamil Nadu,Gummidipoondi,1.0,PM2.5,22.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-02-2024,West Bengal,Durgapur,1.0,PM2.5,286.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-04-2025,Tamil Nadu,Chengalpattu,1.0,PM10,68.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-06-2022,Uttar Pradesh,Agra,5.0,"PM10,O3",41.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-10-2024,Tamil Nadu,Kanchipuram,1.0,PM10,40.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-05-2025,Tamil Nadu,Chennai,7.0,"PM2.5,PM10",58.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-07-2024,Rajasthan,Pali,1.0,PM10,82.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-10-2019,Punjab,Patiala,1.0,PM2.5,103.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-04-2023,Rajasthan,Kota,3.0,"PM2.5,O3",119.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-11-2018,Uttar Pradesh,Agra,1.0,PM2.5,348.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-01-2019,Uttar Pradesh,NOIDA,2.0,PM2.5,292.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-04-2021,Kerala,Kollam,1.0,PM10,102.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-04-2024,Rajasthan,Jaipur,5.0,PM10,116.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-03-2024,Andhra Pradesh,Chittoor,1.0,PM10,56.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-05-2017,Andhra Pradesh,Visakhapatnam,1.0,PM10,103.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-06-2022,Bihar,Buxar,1.0,PM10,202.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-09-2017,Tamil Nadu,Chennai,2.0,"PM2.5,O3",66.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-01-2024,Madhya Pradesh,Indore,4.0,PM2.5,137.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-03-2024,Maharashtra,Latur,1.0,PM2.5,176.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-02-2020,Haryana,Panipat,1.0,PM10,268.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-02-2025,West Bengal,Durgapur,3.0,"PM2.5,PM10",217.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-07-2022,Maharashtra,Pune,1.0,CO,63.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-03-2019,Haryana,Palwal,1.0,PM10,151.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-06-2024,Assam,Guwahati,4.0,PM10,58.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-09-2023,Andhra Pradesh,Visakhapatnam,1.0,PM10,150.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-04-2023,Rajasthan,Bikaner,1.0,PM10,174.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-03-2019,Madhya Pradesh,Maihar,1.0,CO,101.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-06-2019,Rajasthan,Bhiwadi,1.0,PM10,99.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-10-2023,Tamil Nadu,Thoothukudi,1.0,PM10,36.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-02-2023,Assam,Guwahati,4.0,PM2.5,185.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-12-2020,Kerala,Kozhikode,1.0,PM10,77.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-03-2021,Uttar Pradesh,Muzaffarnagar,1.0,PM10,193.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-05-2024,Nagaland,Kohima,1.0,SO2,36.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-08-2024,Rajasthan,Bharatpur,1.0,CO,27.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-06-2024,Maharashtra,Akola,1.0,PM10,47.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-12-2017,Rajasthan,Jaipur,2.0,PM10,103.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-09-2022,Rajasthan,Bhiwadi,1.0,NO2,172.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-03-2023,Karnataka,Belgaum,1.0,PM10,64.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-09-2021,West Bengal,Howrah,3.0,"PM10,CO",61.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-12-2024,Odisha,Keonjhar,1.0,PM2.5,85.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-08-2020,Gujarat,Gandhi Nagar,1.0,PM10,40.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-03-2022,Karnataka,Ramanagara,1.0,PM10,96.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-11-2022,Karnataka,Yadgir,1.0,PM2.5,141.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-07-2022,Chandigarh,Chandigarh,3.0,"PM10,O3",41.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-10-2024,Rajasthan,Jaipur,5.0,PM10,100.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-04-2024,Maharashtra,Virar,1.0,PM10,110.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-09-2023,Maharashtra,Thane,2.0,PM10,67.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-02-2021,Rajasthan,Kota,1.0,PM10,106.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-10-2023,Meghalaya,Shillong,1.0,PM2.5,25.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-12-2021,Madhya Pradesh,Pithampur,1.0,PM2.5,179.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-10-2020,Uttar Pradesh,Lucknow,4.0,"PM2.5,PM10",219.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-07-2023,Uttar Pradesh,Bulandshahr,1.0,PM10,78.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-11-2019,Karnataka,Hubballi,1.0,PM10,102.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-09-2018,Punjab,Khanna,1.0,PM10,76.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-12-2024,Madhya Pradesh,Dewas,1.0,PM2.5,179.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-05-2021,Punjab,Patiala,1.0,PM10,90.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-09-2024,Madhya Pradesh,Singrauli,1.0,PM2.5,83.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-06-2025,Maharashtra,Mumbai,26.0,PM10,66.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-04-2016,Rajasthan,Jodhpur,1.0,PM10,145.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-10-2024,Bihar,Bhagalpur,2.0,"PM2.5,PM10",155.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-04-2024,Madhya Pradesh,Jabalpur,1.0,O3,86.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-09-2023,Karnataka,Tumakuru,1.0,CO,92.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-12-2020,Haryana,Palwal,1.0,PM10,149.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-05-2020,Maharashtra,Mumbai,8.0,"PM10,O3",45.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2018,West Bengal,Kolkata,1.0,PM2.5,220.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-05-2021,Uttar Pradesh,Hapur,1.0,PM10,112.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-05-2024,Andhra Pradesh,Tirupati,1.0,CO,43.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-01-2021,Karnataka,Gadag,1.0,PM2.5,37.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-07-2023,Kerala,Thrissur,1.0,O3,39.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-07-2023,Chandigarh,Chandigarh,3.0,"PM10,CO",49.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-07-2024,Madhya Pradesh,Mandideep,1.0,PM10,61.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2023,Odisha,Rairangpur,1.0,O3,154.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-03-2018,Rajasthan,Kota,1.0,PM10,91.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-04-2025,Bihar,Kishanganj,1.0,PM10,73.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-12-2023,Bihar,Aurangabad,1.0,PM10,198.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-05-2016,Maharashtra,Navi Mumbai,1.0,CO,73.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-04-2025,Odisha,Nayagarh,1.0,PM2.5,48.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-10-2022,Madhya Pradesh,Pithampur,1.0,PM10,81.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-01-2022,Karnataka,Chikkamagaluru,1.0,PM10,33.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-11-2024,Bihar,Manguraha,1.0,PM10,103.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-12-2022,Delhi,Delhi,39.0,PM2.5,321.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-04-2020,Haryana,Narnaul,1.0,PM10,43.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-12-2020,Kerala,Thrissur,1.0,O3,88.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-03-2023,Karnataka,Kalaburagi,2.0,PM2.5,58.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-09-2020,West Bengal,Asansol,1.0,PM10,33.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-07-2022,Andhra Pradesh,Rajamahendravaram,1.0,PM10,21.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-01-2024,Andhra Pradesh,Amaravati,1.0,PM10,54.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2020,Maharashtra,Mumbai,16.0,PM2.5,194.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-02-2022,Madhya Pradesh,Sagar,1.0,CO,54.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-04-2022,Meghalaya,Shillong,2.0,PM10,71.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-09-2022,Madhya Pradesh,Mandideep,1.0,O3,34.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-09-2023,Haryana,Kaithal,1.0,PM2.5,81.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-10-2018,Madhya Pradesh,Mandideep,1.0,PM10,188.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-04-2020,Rajasthan,Alwar,1.0,O3,57.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-09-2024,Haryana,Bahadurgarh,1.0,PM10,85.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-12-2024,Rajasthan,Karauli,1.0,O3,84.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-05-2022,Haryana,Bhiwani,1.0,PM2.5,147.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-10-2024,Tripura,Agartala,1.0,PM10,108.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-04-2023,Andhra Pradesh,Vijayawada,1.0,PM2.5,112.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-09-2021,Karnataka,Bagalkot,1.0,PM10,32.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-04-2024,Odisha,Cuttack,1.0,PM10,103.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-02-2025,Uttar Pradesh,Jhansi,1.0,PM2.5,43.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-03-2025,Tamil Nadu,Karur,1.0,PM10,39.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-02-2025,Madhya Pradesh,Dewas,1.0,PM10,112.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-06-2024,Rajasthan,Sri Ganganagar,1.0,PM10,186.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-06-2024,Karnataka,Yadgir,1.0,PM10,30.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-12-2024,Bihar,Motihari,1.0,PM10,142.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-09-2022,Punjab,Mandi Gobindgarh,1.0,PM10,113.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-04-2022,Haryana,Karnal,1.0,PM10,147.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-03-2023,Chhattisgarh,Raipur,4.0,PM10,64.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-08-2018,Rajasthan,Kota,1.0,PM10,79.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
